ID,RNT_primaryRisk
5001,40
5002,41
5003,40
5004,30
5005,26
5006,13
5007,42
5008,35
5009,37
5010,36
5011,24
5012,25
5013,36
5014,20
5015,39
5016,44
5017,17
5018,58
5019,42
5020,24
5021,27
5022,31
5024,18
5025,22
5026,40
5027,17
5028,36
5029,44
5030,16
5031,32
5032,27
5033,5
5034,17
5035,6
5036,19
5037,29
5038,8
5039,32
5040,29
5041,27
5042,25
5043,18
5044,21
5045,45
5046,5
5047,47
5048,31
5049,11
5050,60
5051,2
5052,19
5053,24
5054,5
5055,39
5056,10
5057,34
5058,33
5059,23
5060,9
5061,26
5062,17
5063,10
5065,9
5066,20
5067,24
5068,22
5069,42
5071,47
5072,24
5073,4
5074,15
5075,18
5076,19
5077,9
5078,30
5079,16
5080,15
5081,24
5082,9
5083,21
5084,25
5085,2
5086,23
5087,7
5088,28
5089,25
